نام ژنریک	کد ژنریک
MANNITOL INJECTION, SOLUTION INTRAVENOUS 20 % 500 mL	782
MESALAZINE ENEMA RECTAL 4 g/100mL	785
MEDROXYPROGESTERONE ACETATE INJECTION PARENTERAL 100 mg/1mL 1 mL	790
MEDROXYPROGESTERONE ACETATE INJECTION, SUSPENSION PARENTERAL 150 mg/1mL 3.3 mL	6066
MEGLUMINE ANTIMONATE INJECTION, SOLUTION PARENTERAL 300 mg/1mL 5 mL	797
MEGLUMINE COMPOUND INJECTION PARENTERAL 66 %/10 % 100 mL	798
MEGLUMINE COMPOUND INJECTION, SOLUTION PARENTERAL 66 %/10 %	23358
MEGLUMINE COMPOUND SOLUTION ORAL 66 %/10 % 100 mL	801
MEGLUMINE COMPOUND INJECTION PARENTERAL 52.1 %/7.9 % 20 mL	802
MESALAZINE TABLET, DELAYED RELEASE ORAL 400 mg	812
MESALAZINE TABLET, DELAYED RELEASE ORAL 500 mg	813
MESNA INJECTION PARENTERAL 100 mg/1mL 4 mL	814
METHADONE HYDROCHLORIDE TABLET ORAL 5 mg	818
METHADONE HYDROCHLORIDE INJECTION PARENTERAL 5 mg/1mL 1 mL	819
METHOTREXATE (AS SODIUM) TABLET ORAL 2.5 mg	824
METHOTREXATE SODIUM INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 5 mg	10018
METHOTREXATE SODIUM INJECTION PARENTERAL 5 mg/1mL 1 mL	828
METHOXSALEN TABLET ORAL 10 mg	830
METHYLERGONOVINE MALEATE TABLET ORAL 0.125 mg	833
METHYLERGONOVINE MALEATE INJECTION PARENTERAL 0.2 mg/1mL 1 mL	834
METHYLPREDNISOLONE (AS SODIUM SUCCINATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	836
MEXILETINE CAPSULE ORAL 100 mg	848
MINOXIDIL TABLET ORAL 10 mg	855
MITOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 mg	857
MITOXANTRONE (AS HYDROCHLORIDE) INJECTION, SOLUTION PARENTERAL 2 mg/1mL 10 mL	859
IMMUNE GLOBULIN INJECTION INTRAVENOUS 120 mg/1mL	11694
NALIDIXIC ACID SUSPENSION ORAL 300 mg/5mL 120 mL	882
NIMODIPINE INJECTION, SOLUTION INTRAVENOUS 0.2 mg/1mL 50 mL	904
NIMODIPINE TABLET ORAL 30 mg	905
NITROGLYCERIN INJECTION PARENTERAL 5 mg/1mL 2 mL	914
NITROPRUSSIDE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	916
NYSTATIN OINTMENT TOPICAL 100000 [iU]/1g 15 g	923
NYSTATIN POWDER, FOR SUSPENSION ORAL 100000 [iU]/1mL	925
OCTREOTIDE (AS ACETATE) INJECTION PARENTERAL 50 ug/1mL	928
POTASSIUM CHLORIDE CONCENTRATED INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 1 meq/1mL 10 mL	1340
PACLITAXEL INJECTION PARENTERAL 6 mg/1mL 5 mL	4098
PANCREATIN CAPSULE, DELAYED RELEASE PELLETS ORAL 25000 [iU]	12312
PERPHENAZINE INJECTION PARENTERAL 5 mg/1mL	974
VITAMIN K1 (PHYTOMENADIONE) INJECTION PARENTERAL 10 mg/1mL 1 mL	1003
PIPERAZINE SYRUP ORAL 750 mg/5 mL 100 mL	1012
PNEUMOCOCCAL VACCINE 13-VALENT INJECTION PARENTERAL  0.5 mL	18819
PRIMAQUINE (AS PHOSPHATE) TABLET ORAL 15 mg	1050
PRIMIDONE TABLET ORAL 250 mg	1051
PROCAINAMIDE HYDROCHLORIDE INJECTION PARENTERAL 100 mg/1mL 10 mL	1054
PROCARBAZINE (AS HYDROCHLORIDE) CAPSULE ORAL 50 mg	1055
PYRAZINAMIDE TABLET ORAL 500 mg	1078
PYRIDOSTIGMINE BROMIDE TABLET ORAL 60 mg	1080
PYRIMETHAMINE TABLET ORAL 25 mg	1083
PYRVINIUM SUSPENSION ORAL 50 mg/5mL 60 mL	1085
RABIES IMMUNE GLOBULIN (HUMAN) INJECTION PARENTERAL 150 [iU]/1mL 2 mL	1092
ANTI-D IMMUNOGLOBULIN INJECTION INTRAMUSCULAR 250 ug	1098
ANTI-D IMMUNOGLOBULIN INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION INTRAMUSCULAR 300 ug	1099
RITODRINE TABLET ORAL 10 mg	1108
SALBUTAMOL (AS SULFATE) INJECTION PARENTERAL 0.5 mg/1mL	1113
SILVER SULFADIAZINE CREAM TOPICAL 1 % 50 g	1130
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.45 % 1000 mL	1149
SODIUM POLYSTYRENE SULFONATE POWDER, FOR SUSPENSION ORAL 454 g	1156
SOMATROPIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 4 [iU]	1161
LIPID INFUSION 10% (1) INJECTION, SOLUTION INTRAVENOUS 50 mg/50 mg/1mL 500 mL	1165
STREPTOKINASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 750000 [iU]	1172
STREPTOMYCIN (AS SULFATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	1173
TESTOSTERONE ENANTHATE INJECTION PARENTERAL 100 mg/1mL	1201
TETANUS IMMUNE GLOBULIN INJECTION PARENTERAL 250 [iU]/1mL	1202
TETRACAINE HYDROCHLORIDE SOLUTION, DROPS OPHTHALMIC 0.5 % 10 mL	1204
TETRACOSACTIDE ACETATE INJECTION, SUSPENSION PARENTERAL 1 mg/1mL	1205
THIOPENTAL SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	1218
THIOPENTAL SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	1219
TRANYLCYPROMINE TABLET ORAL 10 mg	1241
TRIPTORELIN (AS ACETATE) INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 3.75 mg	1266
UROFOLLITROPIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION INTRAMUSCULAR 75 [iU]	1270
URSODEOXYCHOLIC ACID TABLET ORAL 250 mg	1273
VANCOMYCIN (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	1276
VASOPRESSIN INJECTION PARENTERAL 20 [iU]/1mL 1 mL	1277
VIGABATRIN TABLET ORAL 500 mg	1282
VINBLASTINE SULFATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10 mg	1283
WARFARIN SODIUM TABLET ORAL 5 mg	1309
ZIDOVUDINE CAPSULE ORAL 100 mg	1314
METHYLPHENIDATE HYDROCHLORIDE TABLET ORAL 10 mg	1328
BARIUM SULFATE POWDER, FOR SUSPENSION ORAL 135 g	1334
DESMOPRESSIN (AS ACETATE) INJECTION PARENTERAL 4 ug/1mL	1338
POTASSIUM CHLORIDE CONCENTRATED INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 2 meq/1mL 50 mL	941
PETHIDINE HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1mL 1 mL	1354
FENTANYL (AS CITRATE) INJECTION PARENTERAL 50 ug/1mL 10 mL	1359
ALBENDAZOLE TABLET, CHEWABLE ORAL 200 mg	1377
ALFENTANIL INJECTION PARENTERAL 0.5 mg/1mL 2 mL	1378
BCG INJECTION, SUSPENSION INTRAVESICAL  3 mL	1402
BENZYDAMINE HYDROCHLORIDE MOUTHWASH IRRIGATION 0.15 % 120 mL	1406
BUPRENORPHINE (AS HYDROCHLORIDE) INJECTION PARENTERAL 0.3 mg/1mL	1414
CHARCOAL ACTIVATED TABLET ORAL 250 mg	1425
CICLOSPORIN INJECTION, SOLUTION INTRAVENOUS 50 mg/1mL 1 mL	1452
CYSTEAMINE (AS BITARTRATE) CAPSULE ORAL 150 mg	1453
DESMOPRESSIN (AS ACETATE) INJECTION PARENTERAL 15 ug/1mL	1457
DOCETAXEL INJECTION, POWDER, FOR SOLUTION INTRAVENOUS 80 mg	1478
EPINEPHRINE INJECTION PARENTERAL 1 mg/1mL 1 mL	1489
ERYTHROMYCIN GEL TOPICAL 2 % 30 g	1491
ERYTHROMYCIN SOLUTION TOPICAL 2 % 60 mL	1492
ETOMIDATE INJECTION PARENTERAL 2 mg/1mL 10 mL	1501
HEPATITIS B IMMUNE GLOBULIN INJECTION PARENTERAL 200 [iU]/1mL 1 mL	1530
HEPATITIS B VIRUS INJECTION PARENTERAL 10 {dose} 5 mL	7058
IDARUBICIN HYDROCHLORIDE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 5 mg	1537
IDARUBICIN HYDROCHLORIDE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 10 mg	1538
INTERFERON ALFA-2B INJECTION PARENTERAL 3000000 U 1 mL	1545
IOHEXOL INJECTION PARENTERAL 350 mg/1mL 20 mL	1550
LEUPRORELIN ACETATE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 3.75 mg	18438
MOCLOBEMIDE TABLET ORAL 150 mg	1595
MORPHINE SULFATE INJECTION PARENTERAL 10 mg/1mL	1600
