نام ژنریک	کد ژنریک
AMINO ACID / LIPID / GLUCOSE (1-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/6.41 g/4.34 g/1.28 g/2.21 g/3.07 g/2.64 g/2.21 g/3.07 g/3.48 g/2.21 g/3.07 g/2.64 g/1.75 g/2.21 g/0.74 g/0.11 g/2.83 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/140 g/1000 mL 1000 mL	50180
AMINO ACID / LIPID / GLUCOSE (2-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/8.24 g/5.58 g/1.65 g/2.84 g/3.95 g/3.4 g/2.84 g/3.95 g/4.48 g/2.84 g/3.95 g/3.4 g/2.25 g/2.84 g/0.95 g/0.15 g/3.64 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/110 g/1000mL 1000 mL	50179
AMINO ACID / LIPID / GLUCOSE (3-1) INJECTION, EMULSION INTRAVENOUS 24 g/6 g/3.66 g/2.48 g/0.73 g/1.26 g/1.76 g/1.51 g/1.26 g/1.76 g/1.99 g/1.26 g/1.76 g/1.51 g/1 g/1.26 g/0.42 g/0.06 g/1.62 g/1.16 g/1.91 g/1.19 g/0.45 g/0.3 g/75 g/1000mL 1000 mL	50178
FLUTICASONE PROPIONATE INHALANT RESPIRATORY 125 ug/1{dose} 60 {Puff}	1889
DIMETHYL FUMARATE CAPSULE, DELAYED RELEASE ORAL 120 mg	22925
LEDIPASVIR / SOFOSBUVIR TABLET ORAL 90 mg/400 mg	23470
DACLATASVIR / SOFOSBUVIR TABLET ORAL 60 mg/400 mg	50003
RIVAROXABAN TABLET ORAL 10 mg	17597
RIVAROXABAN TABLET ORAL 15 mg	50005
RIVAROXABAN TABLET ORAL 20 mg	22856
GLATIRAMER ACETATE INJECTION, SOLUTION PARENTERAL 40 mg/1mL	23125
PEGFILGRASTIM INJECTION, SOLUTION PARENTERAL 10 mg/1mL 0.6 mL	18972
ADALIMUMAB INJECTION, SOLUTION PARENTERAL 50 mg/1mL 0.8 mL	16164
DIMETHYL FUMARATE CAPSULE, DELAYED RELEASE ORAL 240 mg	22926
TERIFLUNOMIDE TABLET ORAL 14 mg	22698
SUNITINIB (AS MALATE) CAPSULE ORAL 12.5 mg	9988
SUNITINIB (AS MALATE) CAPSULE ORAL 25 mg	9753
SUNITINIB (AS MALATE) CAPSULE ORAL 50 mg	7804
SOFOSBUVIR TABLET ORAL 400 mg	22867
SOMATOSTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 0.25 mg	1160
SOMATOSTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 3 mg	50021
SOMATROPIN INJECTION, SOLUTION PARENTERAL 15 [iU]/1mL 1.5 mL	50024
ALBENDAZOLE TABLET, CHEWABLE ORAL 400 mg	26
PACLITAXEL (ALBUMIN BAND) NANO INJECTION, POWDER, FOR SUSPENSION PARENTERAL 100 mg	13879
COLISTIMETHATE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 1000000 [iU]	10730
COLISTIMETHATE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 2000000 [iU]	50029
COLISTIMETHATE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 4500000 [iU]	50030
VERTEPORFIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 15 mg	6859
RETEPLASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10.4 [iU]	50033
LENALIDOMIDE CAPSULE ORAL 10 mg	18193
ACITRETIN CAPSULE ORAL 10 mg	17
ACITRETIN CAPSULE ORAL 25 mg	18
ERLOTINIB (AS HYDROCHLORIDE) TABLET ORAL 100 mg	14887
DENOSUMAB INJECTION, SOLUTION PARENTERAL 120 mg/1.7 mL 1.7 mL	22018
DIMERCAPROL INJECTION INTRAMUSCULAR 100 mg/1mL 2 mL	2506
THALIDOMIDE TABLET ORAL 100 mg	4339
THALIDOMIDE CAPSULE ORAL 100 mg	21850
INDOCYANINE GREEN INJECTION, POWDER, FOR SOLUTION PARENTERAL 25 mg	15281
FLUORESCEIN SODIUM INJECTION PARENTERAL 10 % 5 mL	547
HALOPERIDOL (AS DECANOATE) INJECTION PARENTERAL 50 mg/1mL 1 mL	616
NOREPINEPHRINE (AS BITARTRATE) INJECTION, SOLUTION, CONCENTRATE PARENTERAL 1 mg/1mL 4 mL	50047
BEVACIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 25 mg/1mL 4 mL	5615
BEVACIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 25 mg/1mL 16 mL	5616
SUCCIMER CAPSULE ORAL 100 mg	2400
DEXMEDETOMIDINE (AS HYDROCHLORIDE) INJECTION, SOLUTION, CONCENTRATE PARENTERAL 100 ug/1mL 2 mL	17581
FLUPENTHIXOL (AS DIHYDROCHLORIDE) TABLET ORAL 3 mg	50059
FLUPENTHIXOL (AS DIHYDROCHLORIDE) TABLET ORAL 0.5 mg	50060
FLUPENTHIXOL DECANOATE INJECTION PARENTERAL 20 mg/1mL 1 mL	50061
TRASTUZUMAB INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 150 mg	5283
ALFENTANIL INJECTION PARENTERAL 0.5 mg/1mL 10 mL	1365
SOMATROPIN INJECTION PARENTERAL 10 [iU]/1mL 1.5 mL	50071
PIMECROLIMUS CREAM TOPICAL 1 % 15 g	7760
FLUOROURACIL INJECTION PARENTERAL 50 mg/1mL 5 mL	550
EDETATE CALCIUM DISODIUM INJECTION PARENTERAL 200 mg/1mL 5 mL	50075
FLUOROURACIL INJECTION PARENTERAL 50 mg/1mL 20 mL	14530
THYROTROPIN ALFA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 0.9 mg	16153
DIMERCAPROL INJECTION PARENTERAL 50 mg/1mL 2 mL	50079
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT) INJECTION PARENTERAL 20 mg/1mL	50080
IMMUNE GLOBULIN INJECTION PARENTERAL 200 mg/1mL 5 mL	50081
IMMUNE GLOBULIN INJECTION PARENTERAL 200 mg/1mL 10 mL	50082
IMMUNE GLOBULIN INJECTION PARENTERAL 200 mg/1mL 20 mL	50083
PHENOXYBENZAMINE CAPSULE ORAL 10 mg	984
PEGASPARGASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 3750 [iU]	9037
GLUCAGON INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 mg	597
CLADRIBINE INJECTION, SOLUTION INTRAVENOUS 2 mg/1mL 5 mL	2377
CLADRIBINE INJECTION, SOLUTION INTRAVENOUS 1 mg/1mL 10 mL	305
TRASTUZUMAB INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 440 mg	2481
GOSERELIN (AS ACETATE) IMPLANT PARENTERAL 3.6 mg	50096
GOSERELIN (AS ACETATE) IMPLANT PARENTERAL 10.8 mg	50097
EDETATE CALCIUM DISODIUM INJECTION PARENTERAL 50 mg/1mL 10 mL	1485
BENDAMUSTINE HYDROCHLORIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 25 mg	17381
BENDAMUSTINE HYDROCHLORIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg	13245
BERACTANT CAPSULE ORAL 15 mg	50104
BERACTANT INJECTION, SUSPENSION ENDOTRACHEAL 25 mg/1mL 4 mL	16889
BERACTANT INJECTION, SUSPENSION ENDOTRACHEAL 25 mg/1mL 8 mL	2372
INSULIN GLULISINE INJECTION, SOLUTION PARENTERAL 100 [iU]/1mL 3 mL	50107
ALFENTANIL INJECTION PARENTERAL 0.5 mg/1mL 5 mL	11151
LEUPRORELIN ACETATE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 7.5 mg	22422
BICALUTAMIDE TABLET ORAL 150 mg	7582
METHOTREXATE SODIUM INJECTION PARENTERAL 10 mg/1mL 5 mL	2161
LINEZOLID INJECTION, SOLUTION PARENTERAL 2 mg/1mL 300 mL	50114
BUDESONIDE / FORMOTEROL FUMARATE POWDER, METERED RESPIRATORY 160 ug/4.5 ug/1{dose} 120 {dose}	21368
ALGLUCOSIDASE ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	12292
STREPTOZOCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	1174
ETANERCEPT INJECTION, SOLUTION SUBCUTANEOUS 50 mg/1mL 1 mL	8170
CETRORELIX INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 ug	5291
DIGOXIN ELIXIR ORAL 0.05 mg/1mL 60 mL	439
LARONIDASE INJECTION PARENTERAL 0.58 mg/1mL 5 mL	6353
EMTRICITABINE / TENOFOVIR DISOPROXIL FUMARATE TABLET ORAL 200 mg/300 mg	11460
APROTININ INJECTION PARENTERAL 10000000 [iU]/1mL 50 mL	50127
DENOSUMAB INJECTION, SOLUTION PARENTERAL 60 mg/1mL 1 mL	18084
FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 500 [iU]	50130
FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 1000 [iU]	22419
MEXILETINE CAPSULE ORAL 200 mg	849
CETUXIMAB INJECTION PARENTERAL 2 mg/1mL 50 mL	4258
CETUXIMAB INJECTION PARENTERAL 5 mg/1mL 20 mL	15691
EVEROLIMUS TABLET ORAL 10 mg	17253
MOMETASONE FUROATE INHALANT RESPIRATORY 200 ug/1{Puff} 30 {dose}	50275
MOMETASONE FUROATE INHALANT RESPIRATORY 200 ug/1{Puff} 60 {dose}	21446
MOMETASONE FUROATE INHALANT RESPIRATORY 400 ug/1{Puff} 30 {dose}	21447
MOMETASONE FUROATE INHALANT RESPIRATORY 400 ug/1{Puff} 60 {dose}	21448
CARBOPROST INJECTION INTRAMUSCULAR 250 ug/1mL 1 mL	18333
EPHEDRINE HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1mL 1 mL	50280
EPHEDRINE SULFATE INJECTION PARENTERAL 50 mg/1mL 1 mL	486
FLUTICASONE PROPIONATE INHALANT RESPIRATORY 250 ug/1{dose} 60 {Puff}	2052
FLUTICASONE PROPIONATE INHALANT RESPIRATORY 250 ug/1{dose} 120 {Puff}	2710
IMMUNE GLOBULIN INJECTION INTRAVENOUS 50 mg/1mL 50 mL	5843
IMMUNE GLOBULIN INJECTION INTRAVENOUS 50 mg/1mL 100 mL	5842
DIGOXIN SPECIFIC ANTIBODY INJECTION PARENTERAL 40 mg	11506
PACLITAXEL INJECTION PARENTERAL 6 mg/1mL 16.7 mL	2396
PACLITAXEL INJECTION PARENTERAL 6 mg/1mL 25 mL	2395
PACLITAXEL INJECTION PARENTERAL 6 mg/1mL 50 mL	50293
GEMCITABINE HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 38 mg/1 mL 5.26 mL	50294
GEMCITABINE HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 38 mg/1 mL 26.3 mL	50295
GEMCITABINE HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 38 mg/1 mL 52.6 mL	50296
METHOTREXATE SODIUM INJECTION PARENTERAL 25 mg/1mL 20 mL	50297
DOCETAXEL INJECTION, SOLUTION INTRAVENOUS 10 mg/1mL 2 mL	50298
DOCETAXEL INJECTION, SOLUTION INTRAVENOUS 10 mg/1mL 8 mL	50299
CISPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 1 mg/1mL 50 mL	11868
CISPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 1 mg/1mL 100 mL	50303
CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 5 mL	11889
CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 10 mL	11886
CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 20 mL	9572
CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 50 mL	19476
VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 10 mL	11366
IMMUNE GLOBULIN INJECTION PARENTERAL 100 mg/1mL 50 mL	17773
IMMUNE GLOBULIN INJECTION PARENTERAL 100 mg/1mL 100 mL	17772
GELATIN MODIFIED (1) INJECTION PARENTERAL 4 % 500 mL	2380
FOMEPIZOLE INJECTION PARENTERAL 1 g/1mL 1.5 mL	11908
DAPSONE TABLET ORAL 50 mg	1456
DEFERASIROX TABLET, FOR SUSPENSION ORAL 125 mg	7054
DEFERASIROX TABLET, FOR SUSPENSION ORAL 250 mg	6659
DEFERASIROX TABLET, FOR SUSPENSION ORAL 500 mg	8997
POLIOMYELITIS VACCINE INJECTION PARENTERAL 1 {dose}	14659
INSULIN BIPHASIC ISOPHANE INJECTION PARENTERAL 70 %/30 % 10 mL	1544
INSULIN ISOPHANE INJECTION PARENTERAL 100 [iU]/1mL 10 mL	676
INSULIN REGULAR INJECTION PARENTERAL 100 [iU]/1mL 10 mL	674
BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 [iU]	21097
BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 [iU]	17768
MIDODRINE HYDROCHLORIDE TABLET ORAL 2.5 mg	50327
MIDODRINE HYDROCHLORIDE TABLET ORAL 5 mg	15449
BETAINE POWDER, FOR SOLUTION ORAL 1 g/1g 180 g	6370
FILGRASTIM INJECTION PARENTERAL 600 ug/1mL 0.2 mL	50330
PLERIXAFOR INJECTION PARENTERAL 20 mg/1mL 1.2 mL	22412
OSELTAMIVIR (AS PHOSPHATE) POWDER, FOR SOLUTION ORAL 30 mg/5mL 100 mL	50332
DARUNAVIR (AS ETHANOLATE) TABLET ORAL 150 mg	50333
DOCETAXEL INJECTION, SOLUTION INTRAVENOUS 20 mg/1mL 8 mL	21241
IRINOTECAN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 2 mL	2089
POLIOMYELITIS VACCINE SOLUTION ORAL 20 {dose}	50337
APROTININ INJECTION PARENTERAL 10000000 [iU]/1mL 10 mL	1861
MERCAPTOPURINE TABLET ORAL 50 mg	811
BARIUM SULFATE SUSPENSION ORAL 1 g/1mL 240 mL	14399
FOLLITROPIN ALFA / LUTROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 150 [iU]/75 [iU]	50345
LEUPRORELIN ACETATE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 22.5 mg	50346
HEPATITIS B IMMUNE GLOBULIN INJECTION PARENTERAL 200 [iU]/1mL 5 mL	13930
OXALIPLATIN INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 20 mL	7040
INSULIN DETEMIR INJECTION, SOLUTION PARENTERAL 100 [iU]/1mL 3 mL	12837
ISOPROTERENOL HYDROCHLORIDE INJECTION PARENTERAL 0.2 mg/1mL	1558
DACLATASVIR TABLET ORAL 30 mg	50357
DACLATASVIR TABLET ORAL 60 mg	50358
AMINO ACID / LIPID / GLUCOSE (1-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/6.41 g/4.34 g/1.28 g/2.21 g/3.07 g/2.64 g/2.21 g/3.07 g/3.48 g/2.21 g/3.07 g/2.64 g/1.75 g/2.21 g/0.74 g/0.11 g/2.83 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/140 g/1000 mL 2000 mL	50359
AMINO ACID / LIPID / GLUCOSE (2-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/8.24 g/5.58 g/1.65 g/2.84 g/3.95 g/3.4 g/2.84 g/3.95 g/4.48 g/2.84 g/3.95 g/3.4 g/2.25 g/2.84 g/0.95 g/0.15 g/3.64 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/110 g/1000mL 2000 mL	50360
DIPHTHERIA TOXOID / TETANUS TOXOID / PERTUSSIS / HAEMOPHILUS INFLUENZAE TYPE B / HEPATITIS B VACCINE INJECTION, SUSPENSION PARENTERAL 10 {dose}	21561
PRALIDOXIME (AS METHYLSULFATE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 200 mg	6323
AMINO ACID / LIPID / GLUCOSE (3-1) INJECTION, EMULSION INTRAVENOUS 24 g/6 g/3.66 g/2.48 g/0.73 g/1.26 g/1.76 g/1.51 g/1.26 g/1.76 g/1.99 g/1.26 g/1.76 g/1.51 g/1 g/1.26 g/0.42 g/0.06 g/1.62 g/1.16 g/1.91 g/1.19 g/0.45 g/0.3 g/75 g/1000mL 1500 mL	50366
AMINO ACID / LIPID / GLUCOSE (3-1) INJECTION, EMULSION INTRAVENOUS 24 g/6 g/3.66 g/2.48 g/0.73 g/1.26 g/1.76 g/1.51 g/1.26 g/1.76 g/1.99 g/1.26 g/1.76 g/1.51 g/1 g/1.26 g/0.42 g/0.06 g/1.62 g/1.16 g/1.91 g/1.19 g/0.45 g/0.3 g/75 g/1000mL 2000 mL	50367
MEGESTROL ACETATE SUSPENSION ORAL 40 mg/1mL 240 mL	2442
ROMIPLOSTIM INJECTION, POWDER, FOR SOLUTION PARENTERAL 250 ug	17038
FORMOTEROL FUMARATE INHALANT RESPIRATORY 9 ug/1{Puff}	8815
TRETINOIN CAPSULE ORAL 10 mg	3431
CALCITRIOL INJECTION PARENTERAL 1 ug/1mL	14710
CALCITRIOL INJECTION PARENTERAL 2 ug/1mL	50380
BUDESONIDE SUSPENSION RESPIRATORY 0.25 mg/1mL 2 mL	8889
SALBUTAMOL (AS SULFATE) SOLUTION RESPIRATORY 2.5 mg/2.5mL	9897
DIHYDROTACHYSTEROL SOLUTION ORAL 0.25 mg/1mL 15 mL	4256
LENALIDOMIDE CAPSULE ORAL 15 mg	50392
INSULIN GLARGINE INJECTION PARENTERAL 100 [iU]/1mL 10 mL	9599
METHOTREXATE SODIUM INJECTION PARENTERAL 10 mg/1mL 0.75 mL	23212
METHOTREXATE SODIUM INJECTION PARENTERAL 10 mg/1mL 1 mL	2388
METHOTREXATE SODIUM INJECTION PARENTERAL 10 mg/1mL 1.5 mL	23213
METHOTREXATE SODIUM INJECTION PARENTERAL 10 mg/1mL 2 mL	23214
NATALIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 15 mL	12534
PANCREATIN CAPSULE, DELAYED RELEASE PELLETS ORAL 10000 [iU]	50404
FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]/600 [iU]	12423
FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/1200 [iU]	9563
MEASLES / MUMPS / RUBELLA VACCINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 {dose}	9575
MEASLES / MUMPS / RUBELLA VACCINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 10 {dose}	1578
MEASLES / MUMPS / RUBELLA VACCINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 5 {dose} 2.5 mL	50415
THIOGUANINE TABLET ORAL 40 mg	1217
HEPATITIS B IMMUNE GLOBULIN INJECTION PARENTERAL 50 [iU]/1mL 10 mL	18064
HEPATITIS B IMMUNE GLOBULIN INJECTION PARENTERAL 50 [iU]/1mL 50 mL	18065
PRAZIQUANTEL TABLET ORAL 600 mg	1041
PHENYLEPHRINE HYDROCHLORIDE INJECTION PARENTERAL 10 mg/1mL 1 mL	1635
PHENTOLAMINE MESYLATE INJECTION PARENTERAL 10 mg/1mL 1 mL	986
SOMATROPIN INJECTION PARENTERAL 20 [iU]/1mL 1.5 mL	50423
EPIRUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 5 mL	18435
MEASLES / RUBELLA VACCINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 10 {dose} 5 mL	1990
VINCRISTINE SULFATE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 mg	1284
ETOPOSIDE INJECTION, SOLUTION INTRAVENOUS 20 mg/1mL 5 mL	518
DOXAPRAM HYDROCHLORIDE INJECTION PARENTERAL 20 mg/1mL 5 mL	1329
DEFERIPRONE TABLET, EFFERVESCENT ORAL 500 mg	50438
MELPHALAN TABLET ORAL 2 mg	803
PROPOFOL INJECTION, EMULSION PARENTERAL 10 mg/1mL 50 mL	1951
PROPOFOL INJECTION, EMULSION PARENTERAL 10 mg/1mL 100 mL	1952
DIAZOXIDE CAPSULE ORAL 50 mg	1463
DIAZOXIDE INJECTION PARENTERAL 15 mg/1mL 20 mL	422
DIPHTHERIA TOXOID / TETANUS TOXOID / PERTUSSIS VACCINE INJECTION, SUSPENSION PARENTERAL 1 {dose} 0.5 mL	2256
PROPOFOL INJECTION, EMULSION PARENTERAL 20 mg/1mL 100 mL	50446
CLINDAMYCIN (AS PHOSPHATE) SOLUTION TOPICAL 10 mg/1mL 60 mL	1374
FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg	14456
FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 mg	14457
FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2.4 mg	94
FACTOR VIIA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 4.8 mg	95
GALSULFASE INJECTION PARENTERAL 1 mg/1mL 5 mL	12550
FOLLITROPIN ALFA INJECTION PARENTERAL 600 [iU]/1mL 0.5 mL	16179
GADODIAMIDE INJECTION PARENTERAL 287 mg/1mL 10 mL	50460
GADODIAMIDE INJECTION PARENTERAL 287 mg/1mL 20 mL	50461
CYTARABINE INJECTION, SOLUTION PARENTERAL 20 mg/1mL 5 mL	375
CYTARABINE INJECTION, SOLUTION PARENTERAL 50 mg/1mL 20 mL	50464
FOLLITROPIN ALFA INJECTION PARENTERAL 600 [iU]/1mL 0.75 mL	16180
SAPROPTERIN DIHYDROCHLORIDE TABLET ORAL 50 mg	50467
PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION PARENTERAL 0.5 mg/1mL 1 mL	42
ELOSULFASE ALFA INJECTION, SOLUTION, CONCENTRATE PARENTERAL 1 mg/1mL 5 mL	25308
NEVIRAPINE SUSPENSION ORAL 50 mg/5mL 100 mL	50473
ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.8 mL	2293
ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.6 mL	2292
ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.4 mL	2043
DACTINOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 0.5 mg	378
SODIUM TETRADECYL SULFATE INJECTION PARENTERAL 0.2 % 5 mL	50485
SODIUM TETRADECYL SULFATE INJECTION PARENTERAL 1 % 2 mL	1136
SODIUM TETRADECYL SULFATE INJECTION PARENTERAL 3 % 2 mL	1137
BUSERELIN SPRAY NASAL 150 ug	184
LIDOCAINE HYDROCHLORIDE INJECTION, SOLUTION PARENTERAL 2 % 50 mL	757
POTASSIUM CHLORIDE CONCENTRATED INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 1 meq/1mL 50 mL	50494
ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.2 mL	2294
IOPAMIDOL INJECTION PARENTERAL 300 mg/1mL 20 mL	13416
IOPAMIDOL INJECTION PARENTERAL 300 mg/1mL 50 mL	9939
IOPAMIDOL INJECTION PARENTERAL 370 mg/1mL 20 mL	13413
IOPAMIDOL INJECTION PARENTERAL 370 mg/1mL 50 mL	9940
IOPROMIDE INJECTION PARENTERAL 300 mg/1mL 10 mL	2143
IOPROMIDE INJECTION PARENTERAL 300 mg/1mL 20 mL	703
IOPROMIDE INJECTION PARENTERAL 300 mg/1mL 50 mL	704
IOPROMIDE INJECTION PARENTERAL 370 mg/1mL 10 mL	19109
IOPROMIDE INJECTION PARENTERAL 370 mg/1mL 20 mL	50505
IOPROMIDE INJECTION PARENTERAL 370 mg/1mL 50 mL	2146
DIPHTHERIA TOXOID / TETANUS TOXOID / PERTUSSIS VACCINE INJECTION, SUSPENSION PARENTERAL 10 {dose} 5 mL	1474
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.9 % 250 mL	6417
DANTROLENE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 20 mg	382
WARFARIN SODIUM TABLET ORAL 1 mg	8024
DIAZOXIDE CAPSULE ORAL 100 mg	421
ABACAVIR (AS SULFATE) SOLUTION ORAL 20 mg/1mL 240 mL	24746
ACETYLCYSTEINE SOLUTION RESPIRATORY 100 mg/1mL 3 mL	50528
SALMETEROL (AS XINAFOATE) AEROSOL, METERED RESPIRATORY 25 ug/1{dose} 200 {dose}	2278
LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 150 mg/37.5 mg/200 mg	12112
LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 50 mg/12.5 mg/200 mg	12482
TACROLIMUS CAPSULE, EXTENDED RELEASE ORAL 3 mg	50539
LEUPRORELIN ACETATE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 45 mg	50541
SAPROPTERIN DIHYDROCHLORIDE TABLET, SOLUBLE ORAL 100 mg	21302
CINACALCET (AS HYDROCHLORIDE) TABLET ORAL 60 mg	13571
CINACALCET (AS HYDROCHLORIDE) TABLET ORAL 90 mg	13610
LENALIDOMIDE CAPSULE ORAL 25 mg	12847
ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]	1737
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 5 % 500 mL	12520
MEASLES / MUMPS / RUBELLA VACCINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 {dose} 0.5 mL	7629
IMIGLUCERASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 200 [iU]	2080
GADOBUTROL INJECTION PARENTERAL 604.72 mg/1mL 15 mL	16793
EPIRUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 10 mL	15976
DOXORUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 5 mL	15970
DOXORUBICIN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 2 mg/1mL 25 mL	15971
INSULIN ASPART INJECTION, SUSPENSION PARENTERAL 100 [iU]/1mL 3 mL	50575
LIRAGLUTIDE INJECTION, SOLUTION PARENTERAL 6 mg/1mL 3 mL	22666
PILOCARPINE HYDROCHLORIDE TABLET ORAL 5 mg	6016
OMALIZUMAB INJECTION, POWDER, FOR SOLUTION PARENTERAL 150 mg	7525
OMALIZUMAB INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 mg	18947
ALBENDAZOLE FOR SUSPENSION ORAL 200 mg/5mL	1376
ALEMTUZUMAB INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 30 mg/1mL	6120
ALTEPLASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	5775
EDROPHONIUM CHLORIDE INJECTION PARENTERAL 10 mg/1mL 1 mL	12322
HUMAN PAPILLOMAVIRUS VACCINE (QUADRIVALENT) INJECTION PARENTERAL 0.5 mL	10319
TIROFIBAN INJECTION PARENTERAL 0.25 mg/1mL 50 mL	17675
